start_time,end_time,start_x,start_y,end_x,end_y,money
457,937,76,62,82,71,13.0
460,1236,82,78,82,78,13.0
464,1482,70,66,63,42,26.34
466,1042,56,79,70,94,15.76
470,793,83,36,72,39,13.0
471,1295,64,54,76,39,15.76
472,1900,81,47,12,9,69.58
472,1252,25,28,55,22,26.8
474,474,58,23,58,23,13.0
474,3538,53,86,79,62,97.64
474,1419,77,10,63,18,24.04
478,882,15,70,17,62,13.0
479,799,92,52,93,39,13.0
479,976,42,56,43,42,13.0
480,840,67,19,67,36,13.0
482,719,82,71,76,74,13.0
484,1240,40,68,10,57,29.56
488,2182,84,46,84,46,13.0
488,2648,26,4,26,4,13.0
489,1437,20,68,49,45,32.32
490,1390,31,57,38,11,29.56
490,851,56,71,48,72,13.0
490,1735,90,84,99,21,43.36
491,813,62,81,61,70,13.0
491,1525,31,96,26,36,46.12
491,1302,81,62,68,97,29.56
494,888,85,70,74,62,13.0
495,1516,48,61,79,63,21.28
495,2006,99,23,53,15,43.36
496,1362,65,48,79,78,29.56
496,916,15,17,22,33,15.76
498,1661,47,49,70,61,26.8
498,622,39,32,39,26,13.0
498,985,61,27,79,20,18.52
501,1682,76,65,36,47,37.84
502,743,78,39,84,34,13.0
504,757,83,73,90,84,13.0
505,863,90,57,99,57,13.0
506,746,53,26,46,27,13.0
506,1596,62,82,61,19,61.76
506,686,78,45,77,47,13.0
506,598,83,33,83,27,13.0
506,1762,23,88,72,50,50.03
509,914,80,63,85,56,13.0
509,1231,72,82,76,61,18.52
509,1287,46,43,27,31,18.52
510,738,53,85,50,77,13.0
510,660,20,39,18,35,13.0
511,1428,64,93,21,71,37.84
511,511,57,27,57,27,13.0
512,1306,83,41,69,24,21.28
512,2434,66,40,18,79,61.76
513,1388,56,74,21,38,43.36
514,1386,50,69,17,79,32.32
514,771,67,58,69,64,13.0
515,901,45,61,38,64,13.0
515,1720,50,59,59,22,29.56
517,980,68,86,53,94,15.76
518,1260,27,91,56,85,26.8
519,1010,28,91,22,67,18.52
519,999,46,87,52,97,13.0
520,681,52,37,48,37,13.0
521,1842,81,31,46,78,53.94
522,1095,48,43,53,21,18.52
523,805,80,39,85,37,13.0
523,1964,57,62,65,44,31.86
523,922,76,64,66,52,15.76
523,962,5,59,11,52,13.0
524,1605,66,41,63,53,24.04
526,1417,66,74,83,39,32.32
526,831,3,53,5,59,13.0
529,1008,35,44,23,33,13.0
529,1674,41,55,27,8,37.84
529,731,34,82,50,82,13.0
530,804,51,14,56,17,13.0
530,977,26,59,18,78,18.52
531,658,87,48,86,52,13.0
531,531,83,46,83,46,13.0
532,1574,76,47,53,10,43.36
532,1128,59,97,68,99,13.0
534,1768,83,69,18,50,69.58
536,1050,91,96,89,91,13.0
536,657,2,53,8,53,13.0
538,1197,54,26,85,41,26.8
538,970,70,49,83,35,18.52
539,2075,71,75,44,21,53.94
540,2139,23,88,23,15,57.85
541,2055,35,96,35,96,20.36
541,1021,68,66,78,55,13.0
541,1798,61,80,74,39,29.56
543,1211,33,86,68,81,13.0
546,1293,66,42,85,34,21.28
550,1722,60,52,90,48,26.34
552,1083,85,46,90,54,13.0
554,962,42,53,38,68,13.0
556,796,40,93,29,96,13.0
558,978,81,62,82,48,13.0
558,1278,40,24,13,27,24.04
559,1716,46,37,49,11,26.8
562,890,68,94,61,90,13.0
563,1910,66,71,50,25,50.03
563,1273,67,94,18,93,35.08
564,899,83,62,83,62,13.0
565,1149,83,70,60,76,18.52
567,867,48,18,41,12,13.0
567,775,24,73,21,68,13.0
568,710,30,87,33,84,13.0
570,1619,77,34,35,37,43.36
572,1875,4,47,80,19,65.67
573,1017,65,48,74,41,13.0
578,1224,91,52,74,39,18.52
580,1207,25,32,26,36,15.76
580,1070,81,75,65,77,13.0
580,835,20,56,15,60,13.0
581,1219,94,94,68,80,26.8
581,1572,46,43,64,69,32.32
581,1002,80,56,98,56,13.0
581,588,70,87,70,87,13.0
583,917,77,14,83,33,15.76
583,2132,35,79,16,19,73.49
584,3279,68,66,72,73,85.91
586,1491,91,26,50,20,32.32
588,1017,46,76,46,96,13.0
588,1082,45,25,53,31,13.0
589,649,73,66,73,63,13.0
589,1070,41,66,55,66,13.0
589,1189,11,19,0,53,26.8
589,784,53,14,56,12,13.0
590,1534,47,22,17,47,35.08
591,951,94,51,88,34,15.76
592,898,67,71,76,61,13.0
593,1867,59,94,39,37,46.12
596,945,26,81,34,81,13.0
597,2098,26,48,91,80,65.67
597,1716,86,48,51,95,46.12
598,1252,80,66,71,84,26.8
599,1324,72,55,62,84,24.04
600,1188,59,97,63,84,13.0
602,1755,65,44,34,36,29.1
602,1045,69,64,70,82,13.0
602,1215,33,42,32,29,13.0
603,979,25,33,30,30,13.0
604,2056,47,59,74,14,43.36
604,1037,85,91,92,83,13.0
606,831,62,27,53,26,13.0
607,944,21,67,25,56,13.0
608,903,72,15,74,21,13.0
609,1439,38,47,47,86,32.32
610,731,22,64,26,65,13.0
611,761,7,23,17,23,13.0
611,1190,48,32,42,45,13.0
612,1029,43,29,30,25,13.0
612,2304,81,47,26,95,71.88
612,1231,83,58,82,33,18.52
613,1987,61,37,50,87,35.08
614,614,76,34,76,34,13.0
614,1141,78,66,61,75,15.76
614,1365,55,35,33,33,18.52
614,980,44,93,70,94,18.52
615,1533,80,56,47,53,24.04
616,1561,75,48,69,12,29.56
617,2946,89,31,36,41,64.06
621,1997,56,65,64,22,43.36
621,1574,21,77,83,60,50.03
621,1463,8,60,31,82,29.56
624,1035,78,55,76,61,13.0
625,1490,80,62,92,16,35.08
629,840,80,59,73,58,13.0
630,2141,56,65,93,43,34.62
631,632,83,69,83,69,13.0
633,1897,40,62,39,10,43.36
634,1152,9,59,33,53,18.52
636,1783,81,26,87,11,32.32
636,1919,90,94,76,53,32.32
638,1048,37,71,40,72,13.0
638,878,81,62,84,69,13.0
638,1352,56,73,86,70,29.56
639,786,37,51,33,49,13.0
639,1319,63,82,78,62,26.8
639,1153,37,21,30,34,13.0
643,1663,34,99,33,37,40.6
644,1756,48,82,48,83,20.82
644,885,83,56,83,56,13.0
649,1622,22,33,65,41,29.56
651,946,67,77,75,74,13.0
651,997,87,73,98,78,13.0
652,1218,71,77,80,76,18.52
653,13697,26,41,26,41,263.7
655,1219,14,57,12,83,24.04
655,1416,57,62,81,62,15.76
655,1763,80,72,79,73,24.04
657,1524,14,59,40,82,32.32
658,658,82,53,82,53,13.0
658,2179,80,62,41,36,34.62
659,771,92,56,91,59,13.0
659,2166,98,46,7,80,71.88
660,1860,63,90,10,75,37.84
661,1061,75,48,83,35,15.76
662,785,82,47,83,39,13.0
662,1743,70,46,98,16,40.6
663,1143,78,49,60,43,15.76
663,1848,29,37,75,42,32.32
663,1798,38,21,76,59,46.12
665,1708,55,35,76,12,26.8
670,909,68,96,65,92,13.0
672,866,80,72,76,68,13.0
672,2567,8,74,8,74,13.0
672,1512,72,69,44,89,35.08
673,1067,22,57,22,57,13.0
674,1956,70,34,65,92,46.12
674,1519,46,43,26,82,35.08
678,2411,20,47,75,58,43.36
679,1317,71,62,85,59,13.0
679,848,45,95,46,88,13.0
680,1267,28,37,18,17,18.52
680,1297,63,52,56,67,15.76
681,1599,66,18,89,27,26.8
681,900,76,66,78,58,13.0
681,1669,19,96,93,78,53.94
685,1258,74,39,85,29,18.52
685,1364,75,39,60,78,29.56
685,877,78,74,83,63,13.0
688,1363,20,88,31,92,15.76
690,1859,80,52,43,14,43.36
690,1442,37,27,29,34,15.76
691,1428,84,72,84,38,24.04
693,1083,35,43,44,37,13.0
694,1082,92,61,90,52,13.0
695,1898,70,66,26,82,37.84
696,2070,49,73,63,10,65.67
697,1108,44,25,36,25,13.0
698,977,24,99,18,96,13.0
699,1453,36,46,57,16,35.08
699,1911,87,48,34,56,37.84
699,1336,34,99,65,87,29.56
703,864,76,80,81,75,13.0
704,1621,61,86,84,38,37.84
704,989,76,77,74,86,13.0
706,12332,18,52,20,57,116.04
706,848,73,61,74,56,13.0
